Posn,Entrant No,First Name,Last Name,Club Name,Team Name,Gender,FinishTime
1,421,Michelle,Manissero,,,Female,01:29:53
2,422,Gergana,Petrova,,,Female,01:29:53
3,434,Nathan,Thomas,,,Male,01:29:56
4,419,Davide,Manissero,,,Male,01:30:09
5,420,Julia,Manissero,,,Female,01:30:09
